UEN	EMI	CompanyName	size_group	industry_code (M)	industry_desc (I)	SSIC2020
09896000L	6000537	SOON HONG DRESSMAKING	unknown	Cothers	Other Manufacturing Industries	14103
10071700D	9997521	SIN HUP HUAT SESAME OIL	(0) E1	C10-12	Food, Beverages & Tobacco	10409
10115500W	6000563	PANG SCOOTER SERVICE	unknown	S,T,U	Other Community, Social & Personal Services	95301
10258600D	6000567	OH HOCK GUAN	(1) 10-24	C10-12	Food, Beverages & Tobacco	10719
10288800X	9997459	REY-IM COSMETICS HOUSE	(0) E1	G47	Retail Trade	47721
10385700A	6000579	TECK CHIANG RESTAURANT	(2) 25-99	I56	Food and Beverage Services	56111
10480000C	6000587	CHOON HUAT METAL WORKS	(1) 10-24	Cothers	Other Manufacturing Industries	31003
10481000M	9997401	SNOWHITE (UNISEX) HAIRDRESSING & BEAUTY SALON	unknown	S,T,U	Other Community, Social & Personal Services	96021
10520200B	6000591	YUEN FUNG RESTAURANT	(2) 25-99	I56	Food and Beverage Services	56111
10712700L	6000597	HUP SIONG CHAIRS & TABLES SERVICES	(2) 25-99	F41-43	Construction	42101
10767400M	6000603	THAI GUAN KIAT KEE	unknown	G46	Wholesale Trade	46900
10772100K	6000605	PARAWAN MUSIC LOUNGE	(1) 10-24	R90-93	Arts, Entertainment and Recreation	93203
10856800L	6000607	LIM MENG KENG DEPARTMENTAL STORE	(1) 10-24	G47	Retail Trade	47103
10871100E	6000609	LIAN HOCK HARDWARE	(0) E1	N82	Office Administrative and Business Support	82999
11020800E	6000615	HUP MENG TRANSPORT SERVICE	(0) E1	H49,5221	Land Transport & Supporting Services	49231
11083000L	6000621	LIAN HUP SENG FURNITURE CONTRACTOR COMPANY	unknown	Cothers	Other Manufacturing Industries	31001
189800001R	6000625	FRASER AND NEAVE, LIMITED	(2) 25-99	K64 & 66 (excl. 662)	Financial Services	64202
190800011G	6000629	THE GREAT EASTERN LIFE ASSURANCE COMPANY LIMITED	(4) 250 & above	K65 & 662	Insurance Services	65110
191200018G	6000631	UNITED ENGINEERS LIMITED	(2) 25-99	K64 & 66 (excl. 662)	Financial Services	64202
191700005Z	6000633	GETZ BROS. & CO. (SINGAPORE), PTE LTD	(0) E1	F41-43	Construction	41009
191700037Z	6000635	GOODYEAR ORIENT COMPANY (PRIVATE) LIMITED	(2) 25-99	G46	Wholesale Trade	46221
192000003W	6000639	GREAT EASTERN GENERAL INSURANCE LIMITED	(3) 100-249	K65 & 662	Insurance Services	65124
192400010M	6000643	BRITISH AND MALAYAN TRUSTEES LIMITED	(1) 10-24	K64 & 66 (excl. 662)	Financial Services	66191
192600019W	6000645	PRICEWATERHOUSECOOPERS CM SERVICES PTE. LTD.	(2) 25-99	M69-70	Legal, Accounting & Management Services	70201
192600045M	6000647	VANTAGE AUTOMOTIVE LIMITED	(3) 100-249	G47	Retail Trade	47311
192700048H	6000649	ESTATE AND TRUST AGENCIES (1927) LTD.	unknown	S,T,U	Other Community, Social & Personal Services	94991
192900001H	6000651	SINGAPORE INTERNATIONAL CHAMBER OF COMMERCE	(1) 10-24	S,T,U	Other Community, Social & Personal Services	94110
193100019E	6000657	BATA SHOE (SINGAPORE) PRIVATE LIMITED	(3) 100-249	G46	Wholesale Trade	46414
193100023M	6000659	LEE RUBBER COMPANY (PTE) LIMITED	(1) 10-24	C17,18,22	Paper, Plastic Products & Printing	22111
193200032W	6000661	OVERSEA-CHINESE BANKING CORPORATION LIMITED	(4) 250 & above	K64 & 66 (excl. 662)	Financial Services	64120
193300009Z	6000663	BRITISH-AMERICAN TOBACCO (SINGAPORE) PRIVATE LIMITED	(3) 100-249	Hothers	Other Transport & Storage Services	52101
193300029E	6000665	AMERICAN LLOYD TRAVEL SERVICES PTE LTD	(1) 10-24	N79	Travel & Tour Agencies	79102
193500026Z	6000669	UNITED OVERSEAS BANK LIMITED	(4) 250 & above	K64 & 66 (excl. 662)	Financial Services	64120
193600042E	6000671	INCHCAPE SHIPPING SERVICES (SINGAPORE) PTE LTD	(3) 100-249	H50,5222,5225	Water Transport & Supporting Services	52222
193700005K	9997197	WEARNES AUTOMOTIVE SERVICES PTE. LTD.	unknown	K65 & 662	Insurance Services	66221
193700041W	6000675	SINGAPORE HOKKIEN HUAY KUAN	(2) 25-99	S,T,U	Other Community, Social & Personal Services	94992
193800054G	6000679	BRC ASIA LIMITED	(4) 250 & above	Cothers	Other Manufacturing Industries	24109
193900021Z	6000681	BERGER PAINTS SINGAPORE PTE LTD	(2) 25-99	C19-21	Petroleum, Chemical & Pharmaceutical Products	20221
194000013C	6000683	SINGAPORE CASKET COMPANY (PRIVATE) LIMITED	(2) 25-99	S,T,U	Other Community, Social & Personal Services	96030
194000033G	6000687	WAH HIN AND COMPANY PRIVATE LIMITED	(1) 10-24	K64 & 66 (excl. 662)	Financial Services	64300
194600098Z	6000691	HSBC TRUSTEE (SINGAPORE) LIMITED	(2) 25-99	K64 & 66 (excl. 662)	Financial Services	66191
194600106W	6000693	ENERGIZER SINGAPORE PTE. LTD.	(4) 250 & above	Cothers	Other Manufacturing Industries	27201
194700005R	6000695	COLD STORAGE SINGAPORE (1983) PTE LTD	(4) 250 & above	G47	Retail Trade	47101
194700023Z	6000697	YCH DISTRIPARK (PTE) LTD	(4) 250 & above	Hothers	Other Transport & Storage Services	52292
194700100R	6000701	BUILDING CONSTRUCTION CO. (PRIVATE) LIMITED	(2) 25-99	F41-43	Construction	41009
194700108D	6000703	THE SINGAPORE-JOHORE EXPRESS (PRIVATE) LIMITED	(2) 25-99	H49,5221	Land Transport & Supporting Services	49215
194700119G	6000705	SATA COMMHEALTH	(4) 250 & above	Q86-88	Health and Social Services	86909
194700135H	6000707	GOODWOOD PARK HOTEL PRIVATE LIMITED	(4) 250 & above	I55	Accommodation	55101
194700156E	6000709	W.H. BRENNAN & COMPANY (PRIVATE) LIMITED	(3) 100-249	G46	Wholesale Trade	46541
194700158G	6000711	SHAW THEATRES PTE. LTD.	(4) 250 & above	J58-61	Telecommunications, Broadcasting & Publishing	59140
194800006K	6000713	KUOK (SINGAPORE) LIMITED	(2) 25-99	K64 & 66 (excl. 662)	Financial Services	64202
194800011H	6000715	BIDFOOD SINGAPORE PTE. LTD.	(4) 250 & above	G46	Wholesale Trade	46302
194900022R	6000725	HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED	(2) 25-99	K64 & 66 (excl. 662)	Financial Services	66191
194900077N	6000729	TIEN WAH PRESS (PTE.) LIMITED	(1) 10-24	C17,18,22	Paper, Plastic Products & Printing	18112
195000044R	6000735	TAI HUA FOOD INDUSTRIES PRIVATE LIMITED	(2) 25-99	C10-12	Food, Beverages & Tobacco	10791
195000068E	6000737	CHAMPION MOTORS (1975) PTE. LTD.	unknown	G47	Retail Trade	47311
195000088K	6000741	BETHESDA (KATONG) CHURCH	(1) 10-24	S,T,U	Other Community, Social & Personal Services	94911
195100006K	6000745	GUTHRIE ENGINEERING (S) PTE LTD	(4) 250 & above	M71	Architectural & Engineering Services	71121
195100025E	6000747	BT SINGAPORE PTE. LTD.	(2) 25-99	J58-61	Telecommunications, Broadcasting & Publishing	61091
195100037Z	6000749	KALLANG DEVELOPMENT (PTE) LIMITED	(2) 25-99	L68	Real Estate Services	68101
195100060C	6000751	KODAK (SINGAPORE) PTE. LIMITED	(1) 10-24	C17,18,22	Paper, Plastic Products & Printing	18113
195100114R	6000753	POH HENG JEWELLERY (PRIVATE) LIMITED	(1) 10-24	G47	Retail Trade	47731
195100138E	6000755	AMOY CANNING CORPORATION (SINGAPORE) LIMITED	(1) 10-24	C10-12	Food, Beverages & Tobacco	11041
195300009K	6000763	STRAITS PRINTERS (PRIVATE) LIMITED	(1) 10-24	C17,18,22	Paper, Plastic Products & Printing	18112
195300067E	6000765	YAT YUEN HONG COMPANY LIMITED	(2) 25-99	L68	Real Estate Services	68103
195400138R	6000771	FRIESLANDCAMPINA SINGAPORE PTE. LTD.	unknown	G46	Wholesale Trade	46303
195400150N	6000773	HSBC INSN (NON OPERATING) PTE. LTD.	unknown	K64 & 66 (excl. 662)	Financial Services	64202
195400169E	6000775	TAI TAK ESTATES SENDIRIAN BERHAD	(1) 10-24	K64 & 66 (excl. 662)	Financial Services	22211
195500005N	6000777	SINGAPORE UNITED ESTATES (PRIVATE) LIMITED.	(2) 25-99	L68	Real Estate Services	68101
195500006E	6000779	TECK CHIANG REALTY PRIVATE LIMITED	(2) 25-99	K64 & 66 (excl. 662)	Financial Services	64202
195500013E	6000781	HONGKONG CREAMERIES PRIVATE LIMITED	(2) 25-99	C10-12	Food, Beverages & Tobacco	10503
195500094W	6000787	SENG HONG COMPANY (PRIVATE) LIMITED	(2) 25-99	G46	Wholesale Trade	46900
195500108C	6000789	EU YAN SANG (SINGAPORE) PRIVATE LIMITED.	(3) 100-249	G46	Wholesale Trade	46461
195500121K	6000791	LEONG HUAT HARDWARE PRIVATE LIMITED	(1) 10-24	G46	Wholesale Trade	46632
195500145Z	6000795	CHEE KONG ELECTRIC COMPANY (PRIVATE) LIMITED	unknown	G46	Wholesale Trade	46544
195600089D	6000799	THE SINGAPORE MALAY CHAMBER OF COMMERCE AND INDUSTRY	(1) 10-24	S,T,U	Other Community, Social & Personal Services	94110
195600109R	6000801	JCDECAUX OUT OF HOME ADVERTISING PTE. LTD.	(2) 25-99	M72-75	Other Professional Services	73100
195600133H	9997067	HOE SENG COMPANY PTE. LIMITED	(0) E1	G46	Wholesale Trade	46303
195700015N	6000807	THE UNITED AGENCIES (PRIVATE) LTD.	(2) 25-99	G46	Wholesale Trade	46900
195700030E	6000809	METRO (PRIVATE) LIMITED	(1) 10-24	G47	Retail Trade	47103
195700070R	6000811	MANDOM CORPORATION (SINGAPORE) PRIVATE LIMITED	(2) 25-99	G46	Wholesale Trade	82999
195700088R	6000817	KHONG GUAN BISCUIT FACTORY (SINGAPORE) PRIVATE LIMITED	(3) 100-249	C10-12	Food, Beverages & Tobacco	10711
195700114W	6000819	TYE SOON LIMITED	(2) 25-99	G46	Wholesale Trade	46563
195700134D	6000821	TIONG CHOON COMPANY (PRIVATE) LIMITED	(1) 10-24	K64 & 66 (excl. 662)	Financial Services	64190
195700184G	6000825	SUMMIT COMPANY (SINGAPORE) PRIVATE LIMITED	(1) 10-24	G46	Wholesale Trade	46461
195800019C	6000827	NAM LEONG CO PTE. LTD.	(2) 25-99	C25,28	Fabricated Metal Products & Machinery	25113
195800026C	6000829	ROBERT BOSCH (SOUTH EAST ASIA) PTE. LTD.	(4) 250 & above	G46	Wholesale Trade	46563
195800035D	6000831	QAF LIMITED	(2) 25-99	K64 & 66 (excl. 662)	Financial Services	64202
195800064K	6000835	LAM SENG HANG COMPANY PRIVATE LIMITED	(1) 10-24	G46	Wholesale Trade	46900
195800073M	6000837	TANG HOLDINGS PRIVATE LIMITED	(1) 10-24	K64 & 66 (excl. 662)	Financial Services	64202
195800125E	6000841	CHLORIDE BATTERIES S. E. ASIA PTE. LIMITED	(2) 25-99	G47	Retail Trade	47313
195800165R	6000843	HONG HENG COMPANY PRIVATE LIMITED	(1) 10-24	L68	Real Estate Services	68101
195800192C	6000845	OGILVY SINGAPORE PTE. LTD.	(3) 100-249	M72-75	Other Professional Services	73100
195900054C	6000851	DENIS ASIA PACIFIC PTE. LTD.	(1) 10-24	K64 & 66 (excl. 662)	Financial Services	64201
195900083H	9997027	SEAMASTER PAINT (S) PTE. LTD.	(1) 10-24	F41-43	Construction	41009
195900176D	6000863	NCR SINGAPORE PTE LTD	(2) 25-99	J58-61	Telecommunications, Broadcasting & Publishing	61099
195900186R	6000865	WING JOO LOONG GINSENG HONG (SINGAPORE) COMPANY PRIVATE LIMITED	(2) 25-99	G46	Wholesale Trade	46462
196000026W	6000869	BORDEN COMPANY (PRIVATE) LIMITED	(2) 25-99	C19-21	Petroleum, Chemical & Pharmaceutical Products	68105
196000042Z	6000871	LNRS DATA SERVICES PTE. LTD.	(3) 100-249	J62-63	IT & Other Information Services	63119
196000051C	6000873	EASTERN NAVIGATION PTE. LTD.	(2) 25-99	H50,5222,5225	Water Transport & Supporting Services	52222
196000073H	6000877	HOCK TONG BEE (PRIVATE) LIMITED	(2) 25-99	G46	Wholesale Trade	46307
196000089G	6000879	SHELL SINGAPORE PTE. LTD.	(4) 250 & above	C19-21	Petroleum, Chemical & Pharmaceutical Products	19201
196000160W	6000883	TONG ENG BROTHERS PRIVATE LIMITED	(2) 25-99	L68	Real Estate Services	68101
196000161H	6000885	LEA HIN COMPANY (PRIVATE) LIMITED	(1) 10-24	G46	Wholesale Trade	46436
196100003D	6000891	HONG LEONG FINANCE LIMITED	(4) 250 & above	K64 & 66 (excl. 662)	Financial Services	64150
196100049Z	6000895	PRIMA LIMITED	(4) 250 & above	C10-12	Food, Beverages & Tobacco	10612
196100051E	6000897	SINGAPORE CEMENT MANUFACTURING COMPANY (PRIVATE) LIMITED	(1) 10-24	Cothers	Other Manufacturing Industries	46541
196100064K	6000899	ASIA ENTERPRISES (PRIVATE) LIMITED	(2) 25-99	G46	Wholesale Trade	46620
196100107C	6000901	NSL LTD.	(1) 10-24	K64 & 66 (excl. 662)	Financial Services	64202
196100112Z	6000903	EASTERN (1961) COMPANY PRIVATE LIMITED	(3) 100-249	C25,28	Fabricated Metal Products & Machinery	28191
196100114C	6000905	TANGLIN TRUST SCHOOL LIMITED	(4) 250 & above	O84,P85	Public Administration and Education	85230
196100157E	6000907	NATIONAL CAR RENTALS (PRIVATE) LIMITED	(1) 10-24	N77	Rental & Leasing	77101
196100171E	9996971	GREIF SINGAPORE PTE. LTD.	(1) 10-24	M69-70	Legal, Accounting & Management Services	70201
196100187D	6000915	PONTIAC LAND PRIVATE LIMITED	(2) 25-99	L68	Real Estate Services	68101
196200040E	6000917	SHANGRI-LA HOTEL LIMITED	(4) 250 & above	I55	Accommodation	55101
196200046K	6000919	CHEMICAL INDUSTRIES (FAR EAST) LIMITED.	(3) 100-249	C19-21	Petroleum, Chemical & Pharmaceutical Products	20131
196200090H	6000923	SINGAPORE TRANSPORT SUPPLY SERVICE (PRIVATE) LIMITED	(2) 25-99	H49,5221	Land Transport & Supporting Services	49231
196200138N	6000929	NIPPON PAINT (SINGAPORE) COMPANY PRIVATE LIMITED	(4) 250 & above	C19-21	Petroleum, Chemical & Pharmaceutical Products	20221
196200166K	6000935	ELIM CHURCH ASSEMBLY OF GOD	(1) 10-24	S,T,U	Other Community, Social & Personal Services	94911
196200172Z	6000937	ASIA PACIFIC BREWERIES (SINGAPORE) PTE LTD	(4) 250 & above	C10-12	Food, Beverages & Tobacco	11030
196300029C	6000945	KANSAI PAINT (SINGAPORE) PTE. LTD.	(1) 10-24	G46	Wholesale Trade	46634
196300080Z	6000951	TEKNOR APEX ASIA PACIFIC PTE. LTD.	(3) 100-249	C19-21	Petroleum, Chemical & Pharmaceutical Products	20132
196300091D	6000953	NOAH AGENCIES 'N' MARINE SERVICES PTE LTD	(2) 25-99	G46	Wholesale Trade	46551
196300098Z	6000955	SEATRIUM LIMITED	unknown	K64 & 66 (excl. 662)	Financial Services	64202
196300160H	6000959	KUO INTERNATIONAL (PRIVATE) LTD.	(1) 10-24	G46	Wholesale Trade	46900
196300181E	6000961	SINGAPORE LAND GROUP LIMITED	(2) 25-99	K64 & 66 (excl. 662)	Financial Services	64202
196300186Z	6000965	K.C. DAT (SINGAPORE) PRIVATE LIMITED	(3) 100-249	Hothers	Other Transport & Storage Services	52292
196300196M	6000967	STAMFORD PRESS (PTE) LTD	unknown	C17,18,22	Paper, Plastic Products & Printing	18112
196300212C	6000969	SIONG KEE PILING CONSTRUCTION (PTE.) LTD	(2) 25-99	F41-43	Construction	43901
196300224R	6000971	AVANOS MEDICAL SINGAPORE PTE. LTD.	(1) 10-24	G46	Wholesale Trade	46461
196300239D	6000973	WING TAI HOLDINGS LIMITED	(2) 25-99	K64 & 66 (excl. 662)	Financial Services	64202
196300291M	6000979	SINGER LOGISTICS PTE. LTD.	(1) 10-24	K64 & 66 (excl. 662)	Financial Services	64202
196300306G	6000981	HONG LEONG ASIA LTD.	(2) 25-99	K64 & 66 (excl. 662)	Financial Services	64202
196300316Z	6000983	CITY DEVELOPMENTS LIMITED	(4) 250 & above	L68	Real Estate Services	68101
196300331K	6000985	LAM SOON SINGAPORE PTE LTD	(3) 100-249	G46	Wholesale Trade	46225
196300361H	6000989	STRAITS DEVELOPMENTS PRIVATE LIMITED	(2) 25-99	L68	Real Estate Services	68101
196300412K	6000991	UNITED ITALIAN TRADING CORPORATION (PRIVATE) LIMITED	(2) 25-99	G46	Wholesale Trade	46461
196300426G	6000993	GKE PRIVATE LIMITED	(1) 10-24	H49,5221	Land Transport & Supporting Services	49233
196300438C	6000995	UOL GROUP LIMITED	(3) 100-249	K64 & 66 (excl. 662)	Financial Services	64202
196300450Z	6001001	SIN CHEONG CONTAINERS MANUFACTURING COMPANY (PRIVATE) LIMITED	(2) 25-99	C25,28	Fabricated Metal Products & Machinery	25959
196300455N	6001003	JEBSEN & JESSEN INGREDIENTS (S) PTE. LTD.	(1) 10-24	G46	Wholesale Trade	46641
196400096C	6001015	FAR EAST GROUP LIMITED	(2) 25-99	C25,28	Fabricated Metal Products & Machinery	28191
196400122D	6001017	INGERSOLL-RAND SOUTH EAST ASIA (PRIVATE) LIMITED	unknown	G46	Wholesale Trade	46541
196400165G	6001021	SING HOLDINGS LIMITED	(1) 10-24	K64 & 66 (excl. 662)	Financial Services	64202
196400172G	6001023	LEEDEN NATIONAL OXYGEN LTD.	(4) 250 & above	A,B,D,E,V	Others	35201
196400192M	6102540	PFIZER PRIVATE LIMITED	(3) 100-249	G46	Wholesale Trade	46461
196400204N	6001025	SIGMA CABLE COMPANY (PRIVATE) LIMITED	(3) 100-249	Cothers	Other Manufacturing Industries	27322
196400287H	6001031	CARRIER SINGAPORE (PTE) LIMITED	(3) 100-249	C25,28	Fabricated Metal Products & Machinery	28191
196400295Z	6001033	AMCOR FLEXIBLES SINGAPORE PTE. LTD.	(2) 25-99	G46	Wholesale Trade	46471
196400301R	6001035	TIONG SENG CONTRACTORS (PRIVATE) LIMITED	(4) 250 & above	F41-43	Construction	41001
196400340R	6001041	SINGAPORE AMERICAN SCHOOL LIMITED	(4) 250 & above	O84,P85	Public Administration and Education	85230
196400348D	6001043	SING INVESTMENTS & FINANCE LIMITED	(3) 100-249	K64 & 66 (excl. 662)	Financial Services	64150
196400367W	6001047	CYCLE & CARRIAGE INDUSTRIES PTE. LIMITED	(4) 250 & above	G47	Retail Trade	47311
196500072R	6001055	ASIA PAINT (S) PTE LTD	(2) 25-99	C19-21	Petroleum, Chemical & Pharmaceutical Products	20221
196500133K	6001057	ORCHID HOTEL PRIVATE LIMITED	(2) 25-99	K64 & 66 (excl. 662)	Financial Services	64202
